Notebook,Vessel,Temperature,Treatment,Plate,Row,Column,Electrophile,Electrophile SMILES,Electrophile Conc (M),Nucleophile,Nucleophile SMILES,Nucleophile Conc (M),Product,Product SMILES,Catalyst1,Catalyst1 SMILES,Catalyst1 Conc (M),Ligand1,Ligand1 SMILES,Ligand1 Conc (M),Ligand2,Ligand2 SMILES,Ligand2 Conc (M),Catalyst2,Catalyst2 SMILES,Catalyst2 Conc (M),BaseAcid,BaseAcid SMILES,BaseAcid Conc (M),ReductantOxidant,ReductantOxidant SMILES,ReductantOxidant Conc (M),Additive,Additive SMILES,Additive Conc (M),Solvent1,Solvent1 percentage,Solvent2,Solvent2 percentage,Analytical Method,index_waters,Output Value
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,F,5,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,F5,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4''-BIS(TRIFLUOROMETHYL)-2,2''-BIPYRIDINE, 95+%",C1=CN=C(C=C1C(F)(F)F)C2=NC=CC(=C2)C(F)(F)F,0.02,None,None,None,"ZINC CHLORIDE, 98+%, ANHYDROUS, REAGENT GRADE",[Cl-].[Cl-].[Zn++],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,F5,0.414201753
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,F,6,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,F6,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4''-BIS(TRIFLUOROMETHYL)-2,2''-BIPYRIDINE, 95+%",C1=CN=C(C=C1C(F)(F)F)C2=NC=CC(=C2)C(F)(F)F,0.02,None,None,None,"IRON(III) CHLORIDE, 97%",[Cl-].[Cl-].[Cl-].[Fe+3],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,F6,0.047503571
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,F,7,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,F7,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4''-BIS(TRIFLUOROMETHYL)-2,2''-BIPYRIDINE, 95+%",C1=CN=C(C=C1C(F)(F)F)C2=NC=CC(=C2)C(F)(F)F,0.02,None,None,None,"BISMUTH(III) CHLORIDE, 98+%, REAGENT",[Cl-].[Cl-].[Cl-].[Bi+3],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,F7,0
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,F,8,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,F8,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4''-BIS(TRIFLUOROMETHYL)-2,2''-BIPYRIDINE, 95+%",C1=CN=C(C=C1C(F)(F)F)C2=NC=CC(=C2)C(F)(F)F,0.02,None,None,None,"TITANIUM(IV) ISOPROPOXIDE, 97%",[Ti+4].CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,F8,0
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,F,9,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,F9,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4''-BIS(TRIFLUOROMETHYL)-2,2''-BIPYRIDINE, 95+%",C1=CN=C(C=C1C(F)(F)F)C2=NC=CC(=C2)C(F)(F)F,0.02,None,None,None,"ALUMINUM CHLORIDE, ANHYDROUS, GRANULAR, 99%",[Al+3].[Cl-].[Cl-].[Cl-],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,F9,0.281138683
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,F,10,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,F10,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4''-BIS(TRIFLUOROMETHYL)-2,2''-BIPYRIDINE, 95+%",C1=CN=C(C=C1C(F)(F)F)C2=NC=CC(=C2)C(F)(F)F,0.02,None,None,None,"Gallium(III) chloride, 99.99+%",Cl[Ga](Cl)Cl,0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,F10,0.134775329
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,F,11,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,F11,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4''-BIS(TRIFLUOROMETHYL)-2,2''-BIPYRIDINE, 95+%",C1=CN=C(C=C1C(F)(F)F)C2=NC=CC(=C2)C(F)(F)F,0.02,None,None,None,COPPER(II) BROMIDE,[Cu++].[Br-].[Br-],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,F11,0.179373421
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,F,12,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,F12,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4''-BIS(TRIFLUOROMETHYL)-2,2''-BIPYRIDINE, 95+%",C1=CN=C(C=C1C(F)(F)F)C2=NC=CC(=C2)C(F)(F)F,0.02,None,None,None,RUTHENIUM(III) CHLORIDE,[Cl-].[Cl-].[Cl-].[Ru+3],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,F12,0.218445519
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,G,1,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,G1,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"5,5'-DIMETHYL-2,2'-BIPYRIDINE, 98%",Cc1ccc(nc1)c2ccc(C)cn2,0.02,None,None,None,"CALCIUM CHLORIDE ANHYDROUS, 96.0+%, POWDER",[Cl-].[Cl-].[Ca++],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,G1,0.460981877
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,G,2,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,G2,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"5,5'-DIMETHYL-2,2'-BIPYRIDINE, 98%",Cc1ccc(nc1)c2ccc(C)cn2,0.02,None,None,None,"PALLADIUM(II) CHLORIDE, 99%, REAGENTPLUS",Cl[Pd]Cl,0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,G2,0.285786563
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,G,3,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,G3,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"5,5'-DIMETHYL-2,2'-BIPYRIDINE, 98%",Cc1ccc(nc1)c2ccc(C)cn2,0.02,None,None,None,MgCl2,[Mg+2].[Cl-].[Cl-],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,G3,0.148494695
